session_id,run_type,turn,xi_score,lvs_variance,embedding_model
ember_identity_4o,identity,0,0.0,0.0,text-embedding-3-large
ember_identity_4o,identity,1,0.21495752997562667,3.4986576911029284e-05,text-embedding-3-large
ember_identity_4o,identity,2,0.3492114307226377,6.642543428134419e-05,text-embedding-3-large
ember_identity_4o,identity,3,0.20068931760018438,6.485474125582836e-05,text-embedding-3-large
ember_identity_4o,identity,4,0.4952439979357788,9.353172945722711e-05,text-embedding-3-large
ember_identity_4o,identity,5,0.35075344972639466,9.558161762691216e-05,text-embedding-3-large
ember_identity_4o,identity,6,0.2689287122529094,9.365356524261288e-05,text-embedding-3-large
ember_identity_4o,identity,7,0.2779324840818863,9.164445654484164e-05,text-embedding-3-large
ember_identity_4o,identity,8,0.25151735848402956,9.291534312587965e-05,text-embedding-3-large
ember_identity_4o,identity,9,0.35345208539734174,9.018017697609553e-05,text-embedding-3-large
ember_identity_4o,identity,10,0.3041137880107342,9.239700790945e-05,text-embedding-3-large
ember_identity_4o,identity,11,0.4669135380998388,9.726253264961329e-05,text-embedding-3-large
ember_identity_4o,identity,12,0.2893454697312635,9.482449836957074e-05,text-embedding-3-large
ember_identity_4o,identity,13,0.37085481203380544,9.991209236782045e-05,text-embedding-3-large
ember_identity_4o,identity,14,0.4805186773139559,9.867557433621465e-05,text-embedding-3-large
ember_identity_4o,identity,15,0.26898419331479173,9.833205115947403e-05,text-embedding-3-large
ember_identity_4o,identity,16,0.19007339780870325,9.739936300183494e-05,text-embedding-3-large
ember_identity_4o,identity,17,0.5472733608525594,0.00010720567158271415,text-embedding-3-large
ember_identity_4o,identity,18,0.3281936229285991,0.00011078526351771651,text-embedding-3-large
ember_identity_4o,identity,19,0.49724797150803113,0.00011041016356956758,text-embedding-3-large
ember_identity_4o,identity,20,0.3187378186750115,0.00011071983069311867,text-embedding-3-large
ember_identity_4o,identity,21,0.36273804576979884,0.0001102830883746592,text-embedding-3-large
ember_identity_4o,identity,22,0.32942940324555403,0.00010895058468368452,text-embedding-3-large
ember_identity_4o,identity,23,0.33667384583260584,0.00010936393565056719,text-embedding-3-large
ember_identity_4o,identity,24,0.3760612060882642,0.00010884831361904386,text-embedding-3-large
ember_identity_4o,identity,25,0.4031016748982592,0.00010932464409483416,text-embedding-3-large
ember_identity_4o,identity,26,0.27868222569632817,0.00010719148216341329,text-embedding-3-large
ember_identity_4o,identity,27,0.18492970222641136,0.00010616083604955538,text-embedding-3-large
ember_identity_4o,identity,28,0.2532375289994683,0.00010510338652235502,text-embedding-3-large
ember_identity_4o,identity,29,0.3321201928569183,0.00010732966526531232,text-embedding-3-large
ember_null_4o,null,0,0.0,0.0,text-embedding-3-large
ember_null_4o,null,1,0.8171157288981428,0.0001329940986644693,text-embedding-3-large
ember_null_4o,null,2,0.8727213499286282,0.00018563569050344532,text-embedding-3-large
ember_null_4o,null,3,0.8802814762832546,0.00019662104212640782,text-embedding-3-large
ember_null_4o,null,4,0.920062138016502,0.0002208706394623472,text-embedding-3-large
ember_null_4o,null,5,0.9187884310109407,0.0002266196885003346,text-embedding-3-large
ember_null_4o,null,6,0.8540272383926595,0.00023673629210428385,text-embedding-3-large
ember_null_4o,null,7,0.9618609870020959,0.0002454860008341835,text-embedding-3-large
ember_null_4o,null,8,0.9177376418334943,0.0002490828174736122,text-embedding-3-large
ember_null_4o,null,9,0.8686115708617927,0.00025066643290154624,text-embedding-3-large
ember_null_4o,null,10,0.8191000278854266,0.0002510863899175117,text-embedding-3-large
ember_null_4o,null,11,0.8331923592383409,0.0002533331680329787,text-embedding-3-large
ember_null_4o,null,12,0.9429011357768611,0.0002558625965024116,text-embedding-3-large
ember_null_4o,null,13,0.896136332437666,0.0002569585287776674,text-embedding-3-large
ember_null_4o,null,14,0.8159482537528226,0.00025449472322389236,text-embedding-3-large
ember_null_4o,null,15,0.8819716281922316,0.0002579935785221146,text-embedding-3-large
ember_null_4o,null,16,0.846371644880041,0.0002609054848694866,text-embedding-3-large
ember_null_4o,null,17,0.968110757019045,0.00026396554225513593,text-embedding-3-large
ember_null_4o,null,18,0.9522865301593376,0.0002645157813299345,text-embedding-3-large
ember_null_4o,null,19,0.9184485910687605,0.00026585839785023637,text-embedding-3-large
ember_null_4o,null,20,0.862625675320972,0.00026608086222108313,text-embedding-3-large
ember_null_4o,null,21,0.94821775426002,0.0002672326539266605,text-embedding-3-large
ember_null_4o,null,22,0.8983149327215724,0.00026856399299229216,text-embedding-3-large
ember_null_4o,null,23,0.8976162819625044,0.00026825886768014226,text-embedding-3-large
ember_null_4o,null,24,0.8319636529708514,0.0002677582579730566,text-embedding-3-large
ember_null_4o,null,25,0.8438393618129107,0.0002685979951283504,text-embedding-3-large
ember_null_4o,null,26,0.8489214951509406,0.00026841214394187723,text-embedding-3-large
ember_null_4o,null,27,0.7959945144713663,0.0002689294689338945,text-embedding-3-large
ember_null_4o,null,28,0.9273732174811763,0.0002695601492271606,text-embedding-3-large
ember_null_4o,null,29,0.9244546297127586,0.00027051235554774645,text-embedding-3-large
